FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_221,POINT (-51.37043969599227 -23.309916564409782),2467,Terreno sem determinação de área onde está localizada a Estação de Rolândia,PR4122404BIED00008,Presidente Getúlio Vargas,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Terreno sem determinação de área onde está localizada a Estação de Rolândia, localizado(a) no estado de Paraná, cidade(s) de Rolândia, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-13
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_222,POINT (-46.37003630118155 -21.325083861048626),1460,Estação de Monte Belo,MG3143005BIED00001,Quinze de Novembro,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação de Monte Belo, localizado(a) no estado de Minas Gerais, cidade(s) de Monte Belo, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_223,POINT (-34.890959275172634 -7.115455692304794),2415,Depósito de Material da Via Permanente,PB2507507BIED00024,Napoleão Laureano,01,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Depósito de Material da Via Permanente, localizado(a) no estado de Paraíba, cidade(s) de João Pessoa, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-06
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_224,POINT (-38.900914237349035 -4.469397242314181),1315,Estação Ferroviária de Capistrano,CE2302909BIED00001,Francisco Nunes Cavalcante,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Capistrano, localizado(a) no estado de Ceará, cidade(s) de Capistrano, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_227,POINT (-51.37009883432343 -23.30991007536682),1642,Edificação da Estação Ferroviária de Rolândia,PR4122404BIED00004,Presidente Getúlio Vargas,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação da Estação Ferroviária de Rolândia, localizado(a) no estado de Paraná, cidade(s) de Rolândia, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_22a,POINT (-49.48028014865984 -28.873692215453424),2513,Casa para empregado,SC4210407BIED00001,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_22c,POINT (-34.89059494265174 -7.115165796963921),1346,Estação Ferroviária,PB2507507BIED00017,Napoleão Laureano,01,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária, localizado(a) no estado de Paraíba, cidade(s) de João Pessoa, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_22d,POINT (-38.71751421619231 -6.730751877542714),1597,Edificação da Estação Ferroviária de Baixio,CE2301802BIED00001,Rua do Trilho,s/n,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação da Estação Ferroviária de Baixio, localizado(a) no estado de Ceará, cidade(s) de Baixio, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-23
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_231,POINT (-34.86412 -7.168497200000006),1344,Pátio,PB2507507BIED00016,Diógenes Chianca,1777,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Pátio, localizado(a) no estado de Paraíba, cidade(s) de João Pessoa, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_236,POINT (-49.71310902974626 -24.256069054806765),1385,Estação de Jaguariaíva,PR4112009BIED00001,Getúlio Vargas,60,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação de Jaguariaíva, localizado(a) no estado de Paraná, cidade(s) de Jaguariaíva, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23a,POINT (-49.47995627191959 -28.873823746699674),2514,Casa para empregado,SC4210407BIED00002,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23b,POINT (-49.48006154862826 -28.873619403438827),2515,Casa para empregado,SC4210407BIED00003,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23c,POINT (-49.48029892412392 -28.873692215452635),2517,Casa para empregado,SC4210407BIED00005,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23d,POINT (-49.47975980011086 -28.873328154876553),2577,Terreno Faixa domínio,SC4210407BIED00009,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Terreno Faixa domínio, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-05-18
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23e,POINT (-41.46148398243721 -21.219574618041847),1418,Estação Ferroviária de Santo Eduardo,RJ3301009BIED00011,Cel. Ponciano de Azevedo Furtado,47,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Santo Eduardo, localizado(a) no estado de Rio de Janeiro, cidade(s) de Campos dos Goytacazes, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_23f,POINT (-49.48028819528756 -28.87369691299945),2518,Casa para empregado,SC4210407BIED00006,Ferroviária,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa para empregado, localizado(a) no estado de Santa Catarina, cidade(s) de Maracajá, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-24
